"YEAR.x","MONTH.x","AF","km3_LA","DATE","YEAR.y","MONTH.y","Coachella.AF.","MWD.AF.","Total","km3_CA","native_total"
2015,9,5860,0.007228193,2015-09-01,2015,9,4534,32376,36910,0.045527747,0.05275594
2015,10,37,4.56e-05,2015-10-01,2015,10,3000,41669,44669,0.055098318,0.055143918
2015,11,0,0,2015-11-01,2015,11,3000,47037,50037,0.061719639,0.061719639
2015,12,1891,0.002332511,2015-12-01,2015,12,3500,86406,89906,0.110897253,0.113229764
2016,1,1780,0.002195594,2016-01-01,2016,1,0,29766,29766,0.036715766,0.03891136
2016,2,3224,0.00397674,2016-02-01,2016,2,0,50208,50208,0.061930564,0.065907304
2016,3,242,0.000298502,2016-03-01,2016,3,14497,53551,68048,0.083935847,0.084234349
2016,4,10855,0.013389425,2016-04-01,2016,4,5991,120475,126466,0.155993282,0.169382707
2016,5,7539,0.009299206,2016-05-01,2016,5,6657,113117,119774,0.147738834,0.15703804
2016,6,12797,0.015784844,2016-06-01,2016,6,0,119524,119524,0.147430464,0.163215308
2016,7,18521,0.022845283,2016-07-01,2016,7,0,121716,121716,0.150134252,0.172979535
2016,8,16338,0.020152596,2016-08-01,2016,8,0,121452,121452,0.149808613,0.169961209
2016,9,14762,0.018208632,2016-09-01,2016,9,16117,90247,106364,0.131197867,0.149406499
2016,10,0,0,2016-10-01,2016,10,14480,90565,105045,0.129570907,0.129570907
2016,11,0,0,2016-11-01,2016,11,7180,69849,77029,0.095013731,0.095013731
2016,12,1813,0.002236299,2016-12-01,2016,12,4500,63382,67882,0.083731089,0.085967388
2017,1,4223,0.005208986,2017-01-01,2017,1,30088,53129,83217,0.102646505,0.107855491
2017,2,17888,0.02206449,2017-02-01,2017,2,0,87103,87103,0.107439808,0.129504298
2017,3,31605,0.038984135,2017-03-01,2017,3,3081,106044,109125,0.134603505,0.17358764
2017,4,33140,0.040877527,2017-04-01,2017,4,4591,129076,133667,0.164875571,0.205753098
2017,5,37529,0.046291271,2017-05-01,2017,5,1300,139819,141119,0.174067464,0.220358735
2017,6,37827,0.046658848,2017-06-01,2017,6,0,134118,134118,0.165431871,0.212090719
2017,7,39297,0.048472064,2017-07-01,2017,7,806,153802,154608,0.190705876,0.23917794
2017,8,39964,0.049294795,2017-08-01,2017,8,0,191752,191752,0.236522257,0.285817052
2017,9,37469,0.046217262,2017-09-01,2017,9,0,155674,155674,0.192020766,0.238238028
2017,10,38345,0.047297791,2017-10-01,2017,10,8207,146798,155005,0.191195567,0.238493358
2017,11,28433,0.035071537,2017-11-01,2017,11,15219,134695,149914,0.184915921,0.219987458
2017,12,17682,0.021810393,2017-12-01,2017,12,20616,143266,163882,0.202145169,0.223955562
2018,1,3180,0.003922466,2018-01-01,2018,1,52594,46817,99411,0.12262148,0.126543946
2018,2,14826,0.018287574,2018-02-01,2018,2,16581,47830,64411,0.07944968,0.097737254
2018,3,14805,0.018261671,2018-03-01,2018,3,4099,41347,45446,0.056056732,0.074318403
2018,4,8446,0.010417972,2018-04-01,2018,4,1880,59302,61182,0.075466773,0.085884745
2018,5,20395,0.025156825,2018-05-01,2018,5,0,45073,45073,0.055596644,0.080753469
2018,6,27096,0.033422374,2018-06-01,2018,6,7000,40970,47970,0.059170036,0.09259241
2018,7,34398,0.042429245,2018-07-01,2018,7,876,84501,85377,0.105310822,0.147740067
2018,8,37784,0.046605808,2018-08-01,2018,8,0,87912,87912,0.108437694,0.155043502
2018,9,30784,0.037971448,2018-09-01,2018,9,4966,73087,78053,0.096276814,0.134248262
2018,10,7062,0.008710836,2018-10-01,2018,10,17639,57393,75032,0.092550471,0.101261307
2018,11,13995,0.017262553,2018-11-01,2018,11,17510,54112,71622,0.088344305,0.105606858
2018,12,22428,0.027664489,2018-12-01,2018,12,15943,32295,48238,0.059500608,0.087165097
2019,1,1703,0.002100616,2019-01-01,2019,1,0,44962,44962,0.055459728,0.057560344
2019,2,22318,0.027528807,2019-02-01,2019,2,0,31731,31731,0.039139554,0.066668361
2019,3,30139,0.037175854,2019-03-01,2019,3,0,81579,81579,0.100626065,0.137801919
2019,4,32307,0.039850038,2019-04-01,2019,4,0,137939,137939,0.170144998,0.209995036
2019,5,33003,0.04070854,2019-05-01,2019,5,0,125275,125275,0.154524207,0.195232747
2019,6,33925,0.041845809,2019-06-01,2019,6,0,96401,96401,0.118908705,0.160754514
2019,7,36048,0.044464487,2019-07-01,2019,7,0,160732,160732,0.198259707,0.242724194
2019,8,39827,0.049125808,2019-08-01,2019,8,0,165713,165713,0.204403671,0.253529479
2019,9,28546,0.03521092,2019-09-01,2019,9,1114,150809,151923,0.187393982,0.222604902
2019,10,30213,0.037267131,2019-10-01,2019,10,14025,126074,140099,0.172809315,0.210076446
2019,11,18572,0.022908191,2019-11-01,2019,11,15219,108049,123268,0.152048613,0.174956804
2019,12,18977,0.02340775,2019-12-01,2019,12,4230,116327,120557,0.148704648,0.172112398
2020,1,6549,0.008078061,2020-01-01,2020,1,26522,28864,55386,0.068317523,0.076395584
2020,2,20623,0.025438058,2020-02-01,2020,2,27970,13333,41303,0.050946424,0.076384482
2020,3,18128,0.022360525,2020-03-01,2020,3,8253,16739,24992,0.030827132,0.053187657
2020,4,13561,0.016727222,2020-04-01,2020,4,8757,23265,32022,0.039498497,0.056225719
2020,5,24530,0.030257264,2020-05-01,2020,5,7173,33076,40249,0.049646337,0.079903601
2020,6,20046,0.02472634,2020-06-01,2020,6,0,46058,46058,0.056811622,0.081537962
2020,7,21201,0.026151009,2020-07-01,2020,7,163,48909,49072,0.060529331,0.08668034
2020,8,22767,0.028082639,2020-08-01,2020,8,146,54254,54400,0.067101312,0.095183951
2020,9,21787,0.026873829,2020-09-01,2020,9,13531,30754,44285,0.054624662,0.081498491
2020,10,5420,0.006685462,2020-10-01,2020,10,10417,47855,58272,0.071877347,0.078562809
2020,11,11037,0.013613919,2020-11-01,2020,11,6963,48535,55498,0.068455673,0.082069592
2020,12,7490,0.009238765,2020-12-01,2020,12,6923,39863,46786,0.057709595,0.06694836
