,Q_CA,Q_COUP,Q_RGUP,Q_RGLOW,Q_RCUP,Q_RCTRI,D_CA,D_COUP,D_COLOW,D_RG,Scaled_D_RG
59,0.052572151,0.573935777,0.048317682,0.037440148,0.004653412,-0.001233081,0.38396492,0.310013559,0.378909021,0.01265043,0.017611742
60,0.048062548,0.522313406,0.043583533,0.052200419,0.004440559,9.54E-05,0.312983933,0.273487508,0.333261626,0.006627675,0.009226951
61,0.05556334,0.503510236,0.038702588,0.038497075,0.005710338,-0.000858753,0.32580054,0.262619797,0.453366807,0.001232647,0.001716073
62,0.059028186,0.647575767,0.047502968,0.048112169,0.006150724,0.00252488,0.323829612,0.242553472,0.437058968,0.000352891,0.00049129
63,0.080511706,0.865745075,0.07603998,0.044192733,0.020940354,0.01193446,0.480292023,0.324983587,0.602082557,0.022633007,0.031509339
64,0.072649505,1.046197031,0.050739805,0.029366405,0.044508343,0.017050277,0.595862155,0.372828116,0.658348981,0.036510672,0.050829619
65,0.055851974,2.610780068,0.077361138,0.067437774,0.097251905,0.015457548,0.545598252,0.482183374,0.526767502,0.040633157,0.056568882
66,0.056757349,5.258275901,0.115014139,0.063298145,0.046247868,0.006180083,0.585652875,0.531108169,0.40051589,0.052051575,0.072465434
67,0.053900609,2.03266526,0.079122682,0.061830192,0.01382812,0.010099519,0.585717423,0.575484711,0.397359415,0.050304641,0.070033379
68,0.059467304,0.822647283,0.037359411,0.021219265,0.005695659,0.001915679,0.56489559,0.556995916,0.366502679,0.05154263,0.071756889
69,0.05275594,0.584844674,0.023971677,0.001152343,0.00408825,-0.028192043,0.489348085,0.467239729,0.459891917,0.041370373,0.057595223
70,0.055143918,0.770268789,0.024045075,0.010128878,0.004947003,-0.005526844,0.468354897,0.400413422,0.346033078,0.034541563,0.048088254
71,0.061719639,0.544902125,0.045521231,0.05247199,0.005306651,0.014973123,0.407387656,0.304750076,0.353035544,0.01074929,0.014965003
72,0.113229764,0.390803468,0.042651383,0.094022408,0.005093798,0.005387389,0.35160562,0.268844173,0.355164531,0.002119815,0.002951175
73,0.03891136,0.443515003,0.038687909,0.044794594,0.00628284,-7.34E-06,0.294881647,0.285207212,0.419615094,0.005439833,0.007573255
74,0.065907304,0.550873401,0.051033396,0.050402176,0.009372882,0.005548863,0.325329161,0.263415021,0.470277818,0.005130114,0.007142069
75,0.084234349,0.838163228,0.070887464,0.042908274,0.018055825,0.004110269,0.533516468,0.352934789,0.587766788,0.030870321,0.042977205
76,0.169382707,1.363179189,0.060839324,0.022995488,0.05372709,0.01415107,0.563926623,0.404894333,0.633294535,0.052299411,0.072810468
77,0.15703804,3.684171632,0.102096151,0.07383805,0.096884916,-0.013549209,0.640184002,0.523655022,0.525144242,0.058153854,0.080960937
78,0.163215308,4.870680714,0.130647842,0.127785333,0.02922695,0.023494592,0.666720855,0.576787743,0.418586372,0.054807417,0.076302076
79,0.172979535,1.715034292,0.039392526,0.004616713,0.005695659,0.004682771,0.62855102,0.624981024,0.420309543,0.05516758,0.076803491
80,0.169961209,0.796428432,0.021182566,0.006378257,0.005930531,0.001056926,0.574112719,0.604902044,0.372074308,0.058162766,0.080973344
81,0.149406499,0.630371187,0.018503551,0.000770675,0.004624053,-0.000763336,0.485863103,0.507426103,0.427203463,0.049505809,0.068921256
82,0.129570907,0.692543513,0.01884118,0.00095417,0.003787319,-0.008076671,0.464188704,0.434852196,0.384731046,0.014788098,0.020587771
83,0.095013731,0.528393228,0.029403104,0,0.003699242,0.006400276,0.385145531,0.330961034,0.386940209,0.010993326,0.015304746
84,0.085967388,0.426529983,0.037190596,0.048978261,0.004638732,0.008506789,0.317732762,0.291966934,0.332509204,0.007233628,0.01007055
85,0.107855491,0.515516931,0.038996179,0.05215638,0.005313991,0.004198346,0.209885868,0.307879994,0.341181801,0.005871836,0.008174684
86,0.129504298,0.74235637,0.050101245,0.057719923,0.008888457,0.003361613,0.249685002,0.284355415,0.334205239,0.006161293,0.008577661
87,0.17358764,1.619761531,0.083306349,0.098206074,0.042842216,0.021395419,0.448279508,0.38099163,0.574452605,0.028233761,0.039306625
88,0.205753098,2.36161094,0.116188502,0.202797746,0.125656801,0.030460031,0.528285047,0.43708174,0.625804845,0.047675693,0.066373395
89,0.220358735,3.951983576,0.185622692,0.249845648,0.190026552,0.019597176,0.618967793,0.565283408,0.545289438,0.05231663,0.07283444
90,0.212090719,5.520165907,0.147822895,0.129033093,0.075599594,0.000521123,0.700542708,0.622639959,0.444709011,0.059988557,0.083515184
91,0.23917794,2.294892007,0.038900762,0.004051551,0.012022537,0.00062388,0.671239156,0.674664405,0.452056852,0.064097774,0.089235975
92,0.285817052,1.146455519,0.033183084,0.00722233,0.008125121,-0.000234873,0.55926363,0.65298923,0.385524174,0.059981676,0.083505604
93,0.238238028,0.496517638,0.022415647,0.009270125,0.005005721,-0.00061654,0.444881044,0.547764358,0.432144784,0.048212132,0.067120219
94,0.238493358,0.682852061,0.037491527,0.083526542,0.010591283,0.009064612,0.44781053,0.469421129,0.392477301,0.02939874,0.040928492
