Month	Day	Time	Height	Discharge
		(mst)	(HG ft)	(QR cfs)
-----	---	----	------	---------
Dec	15	1100	M	1
Dec	15	1030	M	0
Dec	15	1000	M	0
Dec	15	930	M	0
Dec	15	900	M	1
Dec	15	830	M	2
Dec	15	800	M	2
Dec	15	730	M	2
Dec	15	700	M	5
Dec	15	630	M	4
Dec	15	600	M	0
Dec	15	530	M	2
Dec	15	500	M	4
Dec	15	430	M	4
Dec	15	400	M	1
Dec	15	330	M	1
Dec	15	300	M	4
Dec	15	230	M	4
Dec	15	200	M	0
Dec	15	130	M	0
Dec	15	100	M	0
Dec	15	30	M	1
Dec	15	0	M	2
Dec	14	2330	M	0
Dec	14	2300	M	3
Dec	14	2230	M	3
Dec	14	2200	M	1
Dec	14	2130	M	1
Dec	14	2100	M	0
Dec	14	2030	M	0
Dec	14	2000	M	2
Dec	14	1930	M	2
Dec	14	1900	M	0
Dec	14	1830	M	3
Dec	14	1800	M	5
Dec	14	1730	M	2
Dec	14	1700	M	4
Dec	14	1630	M	2
Dec	14	1600	M	5
Dec	14	1530	M	4
Dec	14	1500	M	1
Dec	14	1430	M	1
Dec	14	1400	M	0
Dec	14	1330	M	1
Dec	14	1300	M	2
Dec	14	1230	M	1
Dec	14	1200	M	0
Dec	14	1130	M	2
Dec	14	1100	M	1
Dec	14	1030	M	0
Dec	14	1000	M	3
Dec	14	930	M	5
Dec	14	900	M	1
Dec	14	830	M	1
Dec	14	800	M	1
Dec	14	730	M	1
Dec	14	700	M	1
Dec	14	630	M	0
Dec	14	600	M	4
Dec	14	530	M	4
Dec	14	500	M	4
Dec	14	430	M	0
Dec	14	400	M	0
Dec	14	330	M	0
Dec	14	300	M	1
Dec	14	230	M	1
Dec	14	200	M	4
Dec	14	130	M	4
Dec	14	100	M	5
Dec	14	30	M	5
Dec	14	0	M	1
Dec	13	2330	M	1
Dec	13	2300	M	1
Dec	13	2230	M	5
Dec	13	2200	M	5
Dec	13	2130	M	2
Dec	13	2100	M	1
Dec	13	2030	M	2
Dec	13	2000	M	4
Dec	13	1930	M	4
Dec	13	1900	M	1
Dec	13	1830	M	1
Dec	13	1800	M	0
Dec	13	1730	M	1
Dec	13	1700	M	0
Dec	13	1630	M	1
Dec	13	1600	M	1
Dec	13	1530	M	1
Dec	13	1500	M	4
Dec	13	1430	M	4
Dec	13	1400	M	5
Dec	13	1330	M	1
Dec	13	1300	M	1
Dec	13	1230	M	2
Dec	13	1200	M	2
Dec	13	1130	M	4
Dec	13	1100	M	2
Dec	13	1030	M	2
Dec	13	1000	M	3
Dec	13	930	M	3
Dec	13	900	M	5
Dec	13	830	M	1
Dec	13	800	M	1
Dec	13	730	M	2
Dec	13	700	M	5
Dec	13	630	M	2
Dec	13	600	M	0
Dec	13	530	M	0
Dec	13	500	M	0
Dec	13	430	M	2
Dec	13	400	M	4
Dec	13	330	M	0
Dec	13	300	M	0
Dec	13	230	M	0
Dec	13	200	M	3
Dec	13	130	M	2
Dec	13	100	M	1
Dec	13	30	M	5
Dec	13	0	M	1
Dec	12	2330	M	1
Dec	12	2300	M	0
Dec	12	2230	M	0
Dec	12	2200	M	5
Dec	12	2130	M	2
Dec	12	2100	M	0
Dec	12	2030	M	1
Dec	12	2000	M	0
Dec	12	1930	M	0
Dec	12	1900	M	5
Dec	12	1830	M	2
Dec	12	1800	M	2
Dec	12	1730	M	4
Dec	12	1700	M	0
Dec	12	1630	M	4
Dec	12	1600	M	5
Dec	12	1530	M	0
Dec	12	1500	M	2
Dec	12	1430	M	4
Dec	12	1400	M	2
Dec	12	1330	M	0
Dec	12	1300	M	3
Dec	12	1230	M	1
Dec	12	1200	M	4
Dec	12	1130	M	1
Dec	12	1100	M	1
Dec	12	1030	M	5
Dec	12	1000	M	2
Dec	12	930	M	5
Dec	12	900	M	5
Dec	12	830	M	5
Dec	12	800	M	5
Dec	12	730	M	1
Dec	12	700	M	1
Dec	12	630	M	0
Dec	12	600	M	1
Dec	12	530	M	5
Dec	12	500	M	1
Dec	12	430	M	3
Dec	12	400	M	5
Dec	12	330	M	5
Dec	12	300	M	3
Dec	12	230	M	1
Dec	12	200	M	1
Dec	12	130	M	1
Dec	12	100	M	1
Dec	12	30	M	4
Dec	12	0	M	3
Dec	11	2330	M	4
Dec	11	2300	M	0
Dec	11	2230	M	2
Dec	11	2200	M	1
Dec	11	2130	M	1
Dec	11	2100	M	2
Dec	11	2030	M	4
Dec	11	2000	M	0
Dec	11	1930	M	0
Dec	11	1900	M	4
Dec	11	1830	M	5
Dec	11	1800	M	0
Dec	11	1730	M	0
Dec	11	1700	M	1
Dec	11	1630	M	3
Dec	11	1600	M	2
Dec	11	1530	M	2
Dec	11	1500	M	1
Dec	11	1430	M	0
Dec	11	1400	M	0
Dec	11	1330	M	1
Dec	11	1300	M	1
Dec	11	1230	M	4
Dec	11	1200	M	5
Dec	11	1130	M	5
Dec	11	1100	M	0
Dec	11	1030	M	0
Dec	11	1000	M	4
Dec	11	930	M	1
Dec	11	900	M	5
Dec	11	830	M	5
Dec	11	800	M	5
Dec	11	730	M	2
Dec	11	700	M	2
Dec	11	630	M	2
Dec	11	600	M	2
Dec	11	530	M	1
Dec	11	500	M	1
Dec	11	430	M	3
Dec	11	400	M	4
Dec	11	330	M	3
Dec	11	300	M	3
Dec	11	230	M	1
Dec	11	200	M	3
Dec	11	130	M	1
Dec	11	100	M	1
Dec	11	30	M	3
Dec	11	0	M	5
Dec	10	2330	M	2
Dec	10	2300	M	0
Dec	10	2230	M	0
Dec	10	2200	M	0
Dec	10	2130	M	0
Dec	10	2100	M	0
Dec	10	2030	M	0
Dec	10	2000	M	0
Dec	10	1930	M	0
Dec	10	1900	M	1
Dec	10	1830	M	1
Dec	10	1800	M	1
Dec	10	1730	M	4
Dec	10	1700	M	3
Dec	10	1630	M	4
Dec	10	1600	M	1
Dec	10	1530	M	3
Dec	10	1500	M	2
Dec	10	1430	M	1
Dec	10	1400	M	1
Dec	10	1330	M	2
Dec	10	1300	M	0
Dec	10	1230	M	0
Dec	10	1200	M	0
Dec	10	1130	M	2
Dec	10	1100	M	3
Dec	10	1030	M	2
Dec	10	1000	M	5
Dec	10	930	M	5
Dec	10	900	M	5
Dec	10	830	M	5
Dec	10	800	M	3
Dec	10	730	M	2
Dec	10	700	M	2
Dec	10	630	M	4
Dec	10	600	M	0
Dec	10	530	M	4
Dec	10	500	M	2
Dec	10	430	M	2
Dec	10	400	M	5
Dec	10	330	M	5
Dec	10	300	M	3
Dec	10	230	M	2
Dec	10	200	M	4
Dec	10	130	M	1
Dec	10	100	M	1
Dec	10	30	M	1
Dec	10	0	M	2
Dec	9	2330	M	0
Dec	9	2300	M	0
Dec	9	2230	M	1
Dec	9	2200	M	0
Dec	9	2130	M	2
Dec	9	2100	M	2
Dec	9	2030	M	0
Dec	9	2000	M	1
Dec	9	1930	M	1
Dec	9	1900	M	4
Dec	9	1830	M	2
Dec	9	1800	M	0
Dec	9	1730	M	1
Dec	9	1700	M	1
Dec	9	1630	M	1
Dec	9	1600	M	1
Dec	9	1530	M	1
Dec	9	1500	M	4
Dec	9	1430	M	1
Dec	9	1400	M	2
Dec	9	1330	M	4
Dec	9	1300	M	4
Dec	9	1230	M	1
Dec	9	1200	M	0
Dec	9	1130	M	0
Dec	9	1100	M	2
Dec	9	1030	M	5
Dec	9	1000	M	2
Dec	9	930	M	2
Dec	9	900	M	1
Dec	9	830	M	1
Dec	9	800	M	4
Dec	9	730	M	4
Dec	9	700	M	4
Dec	9	630	M	0
Dec	9	600	M	4
Dec	9	530	M	4
Dec	9	500	M	2
Dec	9	430	M	1
Dec	9	400	M	1
Dec	9	330	M	1
Dec	9	300	M	4
Dec	9	230	M	1
Dec	9	200	M	5
Dec	9	130	M	2
Dec	9	100	M	1
Dec	9	30	M	0
Dec	9	0	M	5
Dec	8	2330	M	1
Dec	8	2300	M	2
Dec	8	2230	M	4
Dec	8	2200	M	3
Dec	8	2130	M	0
Dec	8	2100	M	0
Dec	8	2030	M	1
Dec	8	2000	M	1
Dec	8	1930	M	1
Dec	8	1900	M	4
