5s,15s,5s,3n,4s,2s,12n
USGS,8286500,60,99721,2018,2,107.8
USGS,8286500,60,99721,2018,3,90.6
USGS,8286500,60,99721,2018,4,432.6
USGS,8286500,60,99721,2018,5,705
USGS,8286500,60,99721,2018,6,756.4
USGS,8286500,60,99721,2018,7,698
USGS,8286500,60,99721,2018,8,531.5
USGS,8286500,60,99721,2018,9,579
USGS,8286500,60,99721,2018,10,172.7
USGS,8286500,60,99721,2018,11,90
USGS,8286500,60,99721,2018,12,49.9
USGS,8286500,60,99721,2019,1,29.2
USGS,8286500,60,99721,2019,2,140.8
USGS,8286500,60,99721,2019,3,319.4
USGS,8286500,60,99721,2019,4,1181
USGS,8286500,60,99721,2019,5,1854
USGS,8286500,60,99721,2019,6,1279
USGS,8286500,60,99721,2019,7,529.4
USGS,8286500,60,99721,2019,8,504.1
USGS,8286500,60,99721,2019,9,716.3
USGS,8286500,60,99721,2019,10,592.7
USGS,8286500,60,99721,2019,11,1020
USGS,8286500,60,99721,2019,12,285.4
