Month	Day	Time	Height	Discharge
		(mst)	(HG ft)	(QR cfs)
-----	---	----	------	---------
Dec	22	1300	M	0
Dec	22	1230	M	M
Dec	22	1200	M	0
Dec	22	1130	M	M
Dec	22	1100	M	0
Dec	22	1030	M	M
Dec	22	1000	M	0
Dec	22	930	M	M
Dec	22	900	M	0
Dec	22	830	M	M
Dec	22	800	M	0
Dec	22	730	M	M
Dec	22	700	M	0
Dec	22	630	M	M
Dec	22	600	M	0
Dec	22	530	M	M
Dec	22	500	M	0
Dec	22	430	M	M
Dec	22	400	M	0
Dec	22	330	M	M
Dec	22	300	M	0
Dec	22	230	M	M
Dec	22	200	M	0
Dec	22	130	M	M
Dec	22	100	M	0
Dec	22	30	M	M
Dec	22	0	M	0
Dec	21	2330	M	M
Dec	21	2300	M	0
Dec	21	2230	M	M
Dec	21	2200	M	0
Dec	21	2130	M	M
Dec	21	2100	M	0
Dec	21	2030	M	M
Dec	21	2000	M	0
Dec	21	1930	M	M
Dec	21	1900	M	0
Dec	21	1830	M	M
Dec	21	1800	M	0
Dec	21	1730	M	M
Dec	21	1700	M	0
Dec	21	1630	M	M
Dec	21	1600	M	0
Dec	21	1530	M	M
Dec	21	1500	M	0
Dec	21	1430	M	M
Dec	21	1400	M	0
Dec	21	1330	M	M
Dec	21	1300	M	0
Dec	21	1230	M	M
Dec	21	1200	M	0
Dec	21	1130	M	M
Dec	21	1100	M	0
Dec	21	1030	M	M
Dec	21	1000	M	0
Dec	21	930	M	M
Dec	21	900	M	0
Dec	21	830	M	M
Dec	21	800	M	0
Dec	21	730	M	M
Dec	21	700	M	0
Dec	21	630	M	M
Dec	21	600	M	0
Dec	21	530	M	M
Dec	21	500	M	0
Dec	21	430	M	M
Dec	21	400	M	0
Dec	21	330	M	M
Dec	21	300	M	0
Dec	21	230	M	M
Dec	21	200	M	0
Dec	21	130	M	M
Dec	21	100	M	0
Dec	21	30	M	M
Dec	21	0	M	0
Dec	20	2330	M	M
Dec	20	2300	M	0
Dec	20	2230	M	M
Dec	20	2200	M	0
Dec	20	2130	M	M
Dec	20	2100	M	0
Dec	20	2030	M	M
Dec	20	2000	M	0
Dec	20	1930	M	M
Dec	20	1900	M	0
Dec	20	1830	M	M
Dec	20	1800	M	0
Dec	20	1730	M	M
Dec	20	1700	M	0
Dec	20	1630	M	M
Dec	20	1600	M	0
Dec	20	1530	M	M
Dec	20	1500	M	0
Dec	20	1430	M	M
Dec	20	1400	M	0
Dec	20	1330	M	M
Dec	20	1300	M	0
Dec	20	1230	M	M
Dec	20	1200	M	0
Dec	20	1130	M	M
Dec	20	1100	M	0
Dec	20	1030	M	M
Dec	20	1000	M	0
Dec	20	930	M	M
Dec	20	900	M	0
Dec	20	830	M	M
Dec	20	800	M	0
Dec	20	730	M	M
Dec	20	700	M	0
Dec	20	630	M	M
Dec	20	600	M	0
Dec	20	530	M	M
Dec	20	500	M	0
Dec	20	430	M	M
Dec	20	400	M	0
Dec	20	330	M	M
Dec	20	300	M	0
Dec	20	230	M	M
Dec	20	200	M	0
Dec	20	130	M	M
Dec	20	100	M	0
Dec	20	30	M	M
Dec	20	0	M	0
Dec	19	2330	M	M
Dec	19	2300	M	0
Dec	19	2230	M	M
Dec	19	2200	M	0
Dec	19	2130	M	M
Dec	19	2100	M	0
Dec	19	2030	M	M
Dec	19	2000	M	0
Dec	19	1930	M	M
Dec	19	1900	M	0
Dec	19	1830	M	M
Dec	19	1800	M	0
Dec	19	1730	M	M
Dec	19	1700	M	0
Dec	19	1630	M	M
Dec	19	1600	M	0
Dec	19	1530	M	M
Dec	19	1500	M	0
Dec	19	1430	M	M
Dec	19	1400	M	0
Dec	19	1330	M	M
Dec	19	1300	M	0
Dec	19	1230	M	M
Dec	19	1200	M	0
Dec	19	1130	M	M
Dec	19	1100	M	0
