5s,15s,5s,3n,4s,2s,12n
USGS,8287000,60,99724,2017,9,680.8
USGS,8287000,60,99724,2017,10,519.8
USGS,8287000,60,99724,2017,11,715.3
USGS,8287000,60,99724,2017,12,570.1
USGS,8287000,60,99724,2018,1,74.5
USGS,8287000,60,99724,2018,2,41.3
USGS,8287000,60,99724,2018,3,90.8
USGS,8287000,60,99724,2018,4,568.5
USGS,8287000,60,99724,2018,5,842.2
USGS,8287000,60,99724,2018,6,920.3
USGS,8287000,60,99724,2018,7,789.3
USGS,8287000,60,99724,2018,8,669
USGS,8287000,60,99724,2018,9,411.5
USGS,8287000,60,99724,2018,10,293.3
USGS,8287000,60,99724,2018,11,87.8
USGS,8287000,60,99724,2018,12,108.4
USGS,8287000,60,99724,2019,1,125.5
USGS,8287000,60,99724,2019,2,163.9
USGS,8287000,60,99724,2019,3,497.2
USGS,8287000,60,99724,2019,4,1193
USGS,8287000,60,99724,2019,5,1715
USGS,8287000,60,99724,2019,6,1610
USGS,8287000,60,99724,2019,7,547.1
USGS,8287000,60,99724,2019,8,237.9
USGS,8287000,60,99724,2019,9,397.7
USGS,8287000,60,99724,2019,10,637.2
USGS,8287000,60,99724,2019,11,995.8
USGS,8287000,60,99724,2019,12,225.9
