"YEAR","Total.AF","NM_Export_outsidesystem_AF","MONTH","Total.AF.monthly","NM_Export_outsidesystem_AF.monthly","Total.km3.monthly","NM_Export_outsidesystem_km3_monthly","Total.km3.monthly.excluding.NM.Export","DATE"
2012,4621013.294,46233.28,1,253354.576853193,2534.81484377984,0.312507803456876,0.00312664341350556,0.30938116004337,2012-01-01
2012,4621013.294,46233.28,2,233996.190993861,2341.1340173376,0.288629621667108,0.00288774198770558,0.285741879679403,2012-02-01
2012,4621013.294,46233.28,3,313518.17366333,3136.75217660288,0.386718396850244,0.00386912107479612,0.382849275775448,2012-03-01
2012,4621013.294,46233.28,4,359674.749059252,3598.54913288768,0.443651609469606,0.0044387383844343,0.439212871085172,2012-04-01
2012,4621013.294,46233.28,5,465171.955765757,4654.04964469376,0.573780303997945,0.00574067715573686,0.568039626842209,2012-05-01
2012,4621013.294,46233.28,6,512370.685184809,5126.27336145056,0.631998992761758,0.00632315566588204,0.625675837095876,2012-06-01
2012,4621013.294,46233.28,7,555181.623850809,5554.59719184896,0.684805429387495,0.00685148454420186,0.677953944843294,2012-07-01
2012,4621013.294,46233.28,8,537345.113267697,5376.14274137536,0.662804450313439,0.00663136454863168,0.656173085764807,2012-08-01
2012,4621013.294,46233.28,9,450755.52181572,4509.81309201408,0.555997921049255,0.00556276425273753,0.550435156796517,2012-09-01
2012,4621013.294,46233.28,10,386286.845769481,3864.80340231136,0.476477098519739,0.00476715770068302,0.471709940819056,2012-10-01
2012,4621013.294,46233.28,11,293998.500576998,2941.4576699888,0.362641270491715,0.00362822920677778,0.359013041284938,2012-11-01
2012,4621013.294,46233.28,12,259359.357199094,2594.89272570912,0.319914579917939,0.00320074827930769,0.316713831638631,2012-12-01
2013,3559605.134,44466.9,1,195161.146508708,2437.9701846132,0.240727370995561,0.00300718746331669,0.237720183532245,2013-01-01
2013,3559605.134,44466.9,2,180249.220204514,2251.689091398,0.222333808137864,0.00277741346045761,0.219556394677407,2013-02-01
2013,3559605.134,44466.9,3,241505.66760397,3016.9100129124,0.297892410876145,0.00372129816272719,0.294171112713418,2013-03-01
2013,3559605.134,44466.9,4,277060.463120467,3461.0636415414,0.341748540049834,0.00426915278056849,0.337479387269265,2013-04-01
2013,3559605.134,44466.9,5,358325.842534702,4476.2378993148,0.441987760249704,0.00552134992404682,0.436466410325657,2013-05-01
2013,3559605.134,44466.9,6,394683.417999044,4930.4199255663,0.486834102433461,0.00608157436978752,0.480752528063674,2013-06-01
2013,3559605.134,44466.9,7,427661.0416005,5342.3792962608,0.527511341593384,0.00658971801435177,0.520921623579032,2013-07-01
2013,3559605.134,44466.9,8,413921.428531927,5170.7428429578,0.510563803665561,0.00637800788193159,0.50418579578363,2013-08-01
2013,3559605.134,44466.9,9,347220.743060275,4337.5120212384,0.428289842149988,0.00535023432795714,0.42293960782203,2013-09-01
2013,3559605.134,44466.9,10,297559.983474419,3717.1454504253,0.367034288416026,0.0045850245701906,0.362449263845836,2013-10-01
2013,3559605.134,44466.9,11,226469.500401784,2829.0768914865,0.279345599355593,0.00348960976411077,0.275855989591482,2013-11-01
2013,3559605.134,44466.9,12,199786.67895969,2495.7527422851,0.246432872763198,0.00307846109255383,0.243354411670644,2013-12-01
2014,4008684.218,58287.8,1,219782.638389757,3195.7235275384,0.271097488800997,0.00394186105674807,0.267155627744249,2014-01-01
2014,4008684.218,58287.8,2,202989.426394238,2951.543809476,0.250383397668764,0.00364067025811246,0.246742727410652,2014-02-01
2014,4008684.218,58287.8,3,271973.975156535,3954.6055032088,0.335474458876082,0.00487792679609799,0.330596532079984,2014-03-01
2014,4008684.218,58287.8,4,312014.356686448,4536.8079476068,0.3848634686856,0.00559606186721404,0.379267406818386,2014-04-01
2014,4008684.218,58287.8,5,403532.160393387,5867.5117767976,0.497748849202035,0.0072374584264443,0.490511390775591,2014-05-01
2014,4008684.218,58287.8,6,444476.600431565,6462.8595772906,0.548252997100327,0.00797180803139641,0.540281189068931,2014-06-01
2014,4008684.218,58287.8,7,481614.674544225,7002.8613630496,0.594062068756811,0.00863788943409442,0.585424179322717,2014-07-01
2014,4008684.218,58287.8,8,466141.674591694,6777.8780324636,0.574976432775362,0.0083603769954832,0.566616055779879,2014-08-01
2014,4008684.218,58287.8,9,391026.043752176,5685.6680630208,0.482322804447435,0.0070131578423749,0.47530964660506,2014-09-01
2014,4008684.218,58287.8,10,335100.092498699,4872.4833659486,0.413339262095295,0.00601011078223028,0.407329151313065,2014-10-01
2014,4008684.218,58287.8,11,255040.848055754,3708.391366063,0.314587785259812,0.00457422658221139,0.310013558677601,2014-11-01
2014,4008684.218,58287.8,12,224991.727105521,3271.4656675362,0.277522795550118,0.00403528747159255,0.273487508078526,2014-12-01
2015,3971932.267,88606.6,1,217767.652844006,4858.0010965448,0.268612044430024,0.00599224719256608,0.262619797237458,2015-01-01
2015,3971932.267,88606.6,2,201128.402415631,4486.809618972,0.248087861811633,0.00553438992880958,0.242553471882823,2015-02-01
2015,3971932.267,88606.6,3,269480.495085606,6011.6207504936,0.332398801078194,0.00741521396331885,0.324983587114875,2015-03-01
2015,3971932.267,88606.6,4,309153.783060632,6896.6597999996,0.381335008329628,0.00850689193010351,0.372828116399525,2015-04-01
2015,3971932.267,88606.6,5,399832.543915963,8919.5383768472,0.493185446269462,0.0110020721970735,0.482183374072389,2015-05-01
2015,3971932.267,88606.6,6,440401.601915504,9824.5604298182,0.543226567930736,0.0121183987989722,0.531108169131764,2015-06-01
2015,3971932.267,88606.6,7,477199.19106956,10645.4478578912,0.588615658200481,0.0131309470237516,0.57548471117673,2015-07-01
2015,3971932.267,88606.6,8,461868.048870135,10303.4379007492,0.569705000920334,0.0127090845818161,0.556995916338518,2015-08-01
2015,3971932.267,88606.6,9,387441.084394397,8643.1074048576,0.4779008287788,0.0106611001217438,0.467239728657056,2015-09-01
2015,3971932.267,88606.6,10,332027.866922958,7406.9390955442,0.409549733292131,0.00913631123557186,0.400413422056559,2015-10-01
2015,3971932.267,88606.6,11,252702.612305317,5637.336636761,0.311703618226362,0.00695354199471196,0.30475007623165,2015-11-01
2015,3971932.267,88606.6,12,222928.984200291,4973.1410315214,0.274978443431375,0.00613426999956102,0.268844173431814,2015-12-01
2016,4305350.903,88028,1,236047.872368245,4826.278409584,0.291160329608783,0.00595311789265367,0.285207211716129,2016-01-01
2016,4305350.903,88028,2,218011.86192259,4457.51080776,0.268913271444277,0.0054982504311558,0.263415021013121,2016-02-01
2016,4305350.903,88028,3,292101.681213715,5972.364941488,0.360301581743493,0.00736679270802662,0.352934789035467,2016-03-01
2016,4305350.903,88028,4,335105.291226749,6851.624696968,0.413345674622371,0.00845134203121609,0.404894332591154,2016-04-01
